x_mm,y_mm,active,initial_dome_height_mm,height_mm,growth_thickness_mm,biomass,eps,active_sediment_mm,layer_id
21.000000,2.000000,1.000000,1.715633,16.177346,14.111712,0.187020,0.184330,0.289100,9.000000
22.000000,2.000000,1.000000,1.649503,16.177959,14.178456,0.187014,0.184326,0.290478,9.000000
23.000000,2.000000,1.000000,1.538855,16.174474,14.285619,0.187015,0.184328,0.290781,8.000000
24.000000,2.000000,1.000000,1.383029,16.167314,14.434285,0.187012,0.184326,0.284367,8.000000
25.000000,2.000000,1.000000,1.181073,16.160506,14.629433,0.187007,0.184323,0.285624,9.000000
26.000000,2.000000,1.000000,0.931712,16.154883,14.873170,0.187000,0.184319,0.284280,8.000000
27.000000,2.000000,1.000000,0.633308,16.153208,15.169900,0.186999,0.184318,0.283563,8.000000
28.000000,2.000000,1.000000,0.283797,16.151900,15.518103,0.187000,0.184320,0.286076,9.000000
29.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
30.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
31.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
32.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
33.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
34.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
35.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
7.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
8.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
9.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
10.000000,3.000000,1.000000,0.260292,16.136097,15.525806,0.186973,0.184303,0.290104,8.000000
11.000000,3.000000,1.000000,0.702534,16.146604,15.094069,0.186978,0.184306,0.293331,8.000000
12.000000,3.000000,1.000000,1.090722,16.160332,14.719610,0.186984,0.184307,0.280629,8.000000
13.000000,3.000000,1.000000,1.427661,16.176993,14.399332,0.187005,0.184314,0.294663,9.000000
14.000000,3.000000,1.000000,1.715633,16.173442,14.107809,0.093585,0.074748,0.119816,8.000000
15.000000,3.000000,1.000000,1.956481,16.189943,13.883462,0.187028,0.184328,0.283623,8.000000
16.000000,3.000000,1.000000,2.151674,16.192607,13.690933,0.187031,0.184335,0.283567,9.000000
17.000000,3.000000,1.000000,2.302360,16.196121,13.543760,0.187041,0.184341,0.287542,8.000000
18.000000,3.000000,1.000000,2.409400,16.202844,13.443444,0.187051,0.184348,0.284591,8.000000
19.000000,3.000000,1.000000,2.473389,16.208617,13.385228,0.187059,0.184352,0.283841,8.000000
20.000000,3.000000,1.000000,2.494680,16.213808,13.369128,0.187064,0.184355,0.285249,8.000000
21.000000,3.000000,1.000000,2.473389,16.219374,13.395985,0.187065,0.184355,0.287641,8.000000
22.000000,3.000000,1.000000,2.409400,16.220510,13.461111,0.187064,0.184354,0.288170,8.000000
23.000000,3.000000,1.000000,2.302360,16.213203,13.560842,0.187057,0.184351,0.284193,9.000000
24.000000,3.000000,1.000000,2.151674,16.201451,13.699777,0.187047,0.184345,0.290557,8.000000
25.000000,3.000000,1.000000,1.956481,16.187750,13.881269,0.187035,0.184338,0.286952,8.000000
26.000000,3.000000,1.000000,1.715633,16.176285,14.110652,0.187023,0.184332,0.288856,8.000000
27.000000,3.000000,1.000000,1.427661,16.165262,14.387600,0.187013,0.184326,0.279953,8.000000
28.000000,3.000000,1.000000,1.090722,16.158697,14.717975,0.187005,0.184322,0.288509,8.000000
29.000000,3.000000,1.000000,0.702534,16.155182,15.102647,0.187000,0.184320,0.286950,9.000000
30.000000,3.000000,1.000000,0.260292,16.149374,15.539082,0.186997,0.184318,0.288522,8.000000
31.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
32.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
33.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
34.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
35.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,3.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
7.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
8.000000,4.000000,1.000000,0.000000,16.124409,15.774409,0.186961,0.184296,0.288664,8.000000
9.000000,4.000000,1.000000,0.540659,16.129484,15.238824,0.186968,0.184301,0.285988,8.000000
10.000000,4.000000,1.000000,1.022716,16.140387,14.767672,0.186977,0.184305,0.292206,9.000000
11.000000,4.000000,1.000000,1.449944,16.159456,14.359511,0.186990,0.184312,0.288043,9.000000
12.000000,4.000000,1.000000,1.825424,16.188407,14.012982,0.187010,0.184322,0.291852,8.000000
13.000000,4.000000,1.000000,2.151674,16.212375,13.710701,0.187030,0.184330,0.286645,9.000000
14.000000,4.000000,1.000000,2.430749,16.225000,13.444251,0.187056,0.184343,0.287218,8.000000
15.000000,4.000000,1.000000,2.664319,16.233489,13.219170,0.187066,0.184352,0.290284,9.000000
16.000000,4.000000,1.000000,2.853721,16.238001,13.034280,0.187081,0.184364,0.291864,9.000000
17.000000,4.000000,1.000000,3.000000,16.244616,12.894616,0.187094,0.184372,0.287017,8.000000
18.000000,4.000000,1.000000,3.103942,16.251934,12.797992,0.187107,0.184380,0.282149,8.000000
19.000000,4.000000,1.000000,3.166092,16.262212,12.746121,0.187119,0.184387,0.287329,9.000000
20.000000,4.000000,1.000000,3.186773,16.271477,12.734704,0.187125,0.184389,0.281838,8.000000
21.000000,4.000000,1.000000,3.166092,16.277962,12.761870,0.187132,0.184391,0.287177,8.000000
22.000000,4.000000,1.000000,3.103942,16.275144,12.821203,0.187136,0.184391,0.285955,8.000000
23.000000,4.000000,1.000000,3.000000,16.267060,12.917060,0.187118,0.184383,0.286376,9.000000
24.000000,4.000000,1.000000,2.853721,16.249911,13.046190,0.187099,0.184374,0.291718,9.000000
25.000000,4.000000,1.000000,2.664319,16.229787,13.215468,0.187081,0.184365,0.287725,8.000000
26.000000,4.000000,1.000000,2.430749,16.211622,13.430873,0.187063,0.184355,0.285946,8.000000
27.000000,4.000000,1.000000,2.151674,16.193956,13.692283,0.187043,0.184344,0.286583,8.000000
28.000000,4.000000,1.000000,1.825424,16.177755,14.002330,0.187025,0.184333,0.281443,8.000000
29.000000,4.000000,1.000000,1.449944,16.165188,14.365244,0.187011,0.184325,0.284752,8.000000
30.000000,4.000000,1.000000,1.022716,16.157216,14.784501,0.186999,0.184318,0.284251,9.000000
31.000000,4.000000,1.000000,0.540659,16.152636,15.261977,0.186989,0.184312,0.285045,9.000000
32.000000,4.000000,1.000000,0.000000,16.150202,15.800202,0.186987,0.184311,0.287272,9.000000
33.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
34.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
35.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,4.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
7.000000,5.000000,1.000000,0.142375,16.125529,15.633154,0.186964,0.184298,0.292742,8.000000
8.000000,5.000000,1.000000,0.725561,16.127820,15.052259,0.186967,0.184300,0.289388,9.000000
9.000000,5.000000,1.000000,1.248595,16.139055,14.540459,0.186978,0.184306,0.289753,8.000000
10.000000,5.000000,1.000000,1.715633,16.156721,14.091087,0.186996,0.184316,0.285566,8.000000
11.000000,5.000000,1.000000,2.130067,16.189818,13.709751,0.187019,0.184329,0.291060,8.000000
12.000000,5.000000,1.000000,2.494680,16.229349,13.384669,0.187050,0.184344,0.285950,9.000000
13.000000,5.000000,1.000000,2.811762,16.262123,13.100361,0.187087,0.184359,0.290492,8.000000
14.000000,5.000000,1.000000,3.083189,16.281875,12.848685,0.187104,0.184372,0.288898,8.000000
15.000000,5.000000,1.000000,3.310492,16.290337,12.629845,0.187125,0.184387,0.292026,9.000000
16.000000,5.000000,1.000000,3.494897,16.296125,12.451228,0.187148,0.184403,0.293770,8.000000
17.000000,5.000000,1.000000,3.637370,16.305778,12.318408,0.187168,0.184415,0.281950,8.000000
18.000000,5.000000,1.000000,3.738634,16.318411,12.229777,0.187185,0.184424,0.293354,8.000000
19.000000,5.000000,1.000000,3.799194,16.330204,12.181010,0.187198,0.184431,0.287102,9.000000
20.000000,5.000000,1.000000,3.819347,16.341657,12.172310,0.187205,0.184434,0.284638,8.000000
21.000000,5.000000,1.000000,3.799194,16.347239,12.198045,0.187218,0.184437,0.281938,8.000000
22.000000,5.000000,1.000000,3.738634,16.332847,12.244213,0.092806,0.073643,0.117492,8.000000
23.000000,5.000000,1.000000,3.637370,16.330660,12.343290,0.187200,0.184427,0.281592,8.000000
24.000000,5.000000,1.000000,3.494897,16.311170,12.466273,0.187169,0.184413,0.288960,8.000000
25.000000,5.000000,1.000000,3.310492,16.285184,12.624693,0.187144,0.184400,0.289154,9.000000
26.000000,5.000000,1.000000,3.083189,16.260130,12.826941,0.187119,0.184387,0.285312,9.000000
27.000000,5.000000,1.000000,2.811762,16.233527,13.071765,0.187091,0.184371,0.286293,8.000000
28.000000,5.000000,1.000000,2.494680,16.210083,13.365403,0.187063,0.184355,0.286133,9.000000
29.000000,5.000000,1.000000,2.130067,16.193134,13.713067,0.187038,0.184340,0.289794,8.000000
30.000000,5.000000,1.000000,1.715633,16.178603,14.112969,0.187016,0.184327,0.283201,8.000000
31.000000,5.000000,1.000000,1.248595,16.170747,14.572151,0.187000,0.184317,0.288679,8.000000
32.000000,5.000000,1.000000,0.725561,16.165522,15.089961,0.186990,0.184311,0.289252,8.000000
33.000000,5.000000,1.000000,0.142375,16.166198,15.673824,0.186986,0.184309,0.287825,8.000000
34.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
35.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,5.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,6.000000,1.000000,0.189620,16.126916,15.587296,0.186969,0.184301,0.294918,9.000000
7.000000,6.000000,1.000000,0.817424,16.128906,14.961482,0.186969,0.184301,0.292705,8.000000
8.000000,6.000000,1.000000,1.383029,16.139034,14.406005,0.186981,0.184308,0.284586,8.000000
9.000000,6.000000,1.000000,1.891046,16.156999,13.915953,0.187000,0.184319,0.280554,9.000000
10.000000,6.000000,1.000000,2.345235,16.188266,13.493031,0.187028,0.184335,0.285898,9.000000
11.000000,6.000000,1.000000,2.748684,16.230630,13.131946,0.187061,0.184351,0.287924,9.000000
12.000000,6.000000,1.000000,3.103942,16.280764,12.826822,0.187112,0.184374,0.284418,9.000000
13.000000,6.000000,1.000000,3.413111,16.312657,12.549546,0.082319,0.057636,0.078553,8.000000
14.000000,6.000000,1.000000,3.677925,16.348732,12.320807,0.187185,0.184415,0.286484,9.000000
15.000000,6.000000,1.000000,3.899799,16.358658,12.108859,0.187206,0.184434,0.286410,9.000000
16.000000,6.000000,1.000000,4.079872,16.367333,11.937461,0.187233,0.184452,0.278314,9.000000
17.000000,6.000000,1.000000,4.219040,16.380690,11.811649,0.187258,0.184466,0.285684,9.000000
18.000000,6.000000,1.000000,4.317978,16.395677,11.727699,0.187279,0.184478,0.287081,8.000000
19.000000,6.000000,1.000000,4.377155,16.410701,11.683546,0.187293,0.184486,0.287931,8.000000
20.000000,6.000000,1.000000,4.396850,16.422018,11.675168,0.187300,0.184489,0.283304,8.000000
21.000000,6.000000,1.000000,4.377155,16.428159,11.701004,0.187304,0.184490,0.286709,9.000000
22.000000,6.000000,1.000000,4.317978,16.421239,11.753261,0.187304,0.184486,0.288369,9.000000
