x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
1.000000,4.000000,11.737093,0.182169,0.181572,0.286973,8.000000
2.000000,4.000000,11.735219,0.182168,0.181572,0.289780,8.000000
3.000000,4.000000,11.729858,0.182164,0.181570,0.283905,9.000000
4.000000,4.000000,11.724853,0.182162,0.181568,0.287229,8.000000
5.000000,4.000000,11.718425,0.182159,0.181567,0.289150,9.000000
6.000000,4.000000,11.713274,0.182155,0.181565,0.285884,8.000000
7.000000,4.000000,11.710063,0.182152,0.181563,0.289629,8.000000
8.000000,4.000000,11.709485,0.182151,0.181562,0.287187,8.000000
9.000000,4.000000,11.708870,0.182152,0.181563,0.284524,8.000000
10.000000,4.000000,11.710569,0.182152,0.181563,0.290717,9.000000
11.000000,4.000000,11.717253,0.182152,0.181563,0.286575,9.000000
12.000000,4.000000,11.731534,0.182154,0.181563,0.290351,8.000000
13.000000,4.000000,11.739414,0.182155,0.181560,0.285170,9.000000
14.000000,4.000000,11.735609,0.182160,0.181560,0.285735,8.000000
15.000000,4.000000,11.727869,0.182151,0.181559,0.288779,9.000000
16.000000,4.000000,11.717183,0.182149,0.181560,0.290340,9.000000
17.000000,4.000000,11.710702,0.182147,0.181560,0.285511,8.000000
18.000000,4.000000,11.707906,0.182148,0.181561,0.280673,8.000000
19.000000,4.000000,11.711668,0.182152,0.181564,0.285823,9.000000
20.000000,4.000000,11.718426,0.182155,0.181564,0.280358,8.000000
21.000000,4.000000,11.726594,0.182163,0.181567,0.285671,8.000000
22.000000,4.000000,11.729837,0.182173,0.181569,0.284462,8.000000
23.000000,4.000000,11.731891,0.182168,0.181570,0.284881,9.000000
24.000000,4.000000,11.728477,0.182166,0.181570,0.290195,9.000000
25.000000,4.000000,11.724784,0.182167,0.181572,0.286231,8.000000
26.000000,4.000000,11.724793,0.182170,0.181574,0.284467,8.000000
27.000000,4.000000,11.726416,0.182171,0.181574,0.285108,8.000000
28.000000,4.000000,11.729619,0.182171,0.181574,0.279995,8.000000
29.000000,4.000000,11.733471,0.182175,0.181576,0.283306,8.000000
